# redshift=     0.100000
#          MF max                   MF min
      8.47500  0.000129414      8.47500  6.75271e-05
      8.62500  7.28933e-05      8.62500  1.76748e-05
      8.77500  3.89689e-05      8.77500  4.27887e-06
      8.92500  1.94368e-05      8.92500  1.03775e-06
      9.07500  9.04544e-06      9.07500  2.77336e-07
      9.22500  3.85551e-06      9.22500  8.81968e-08
      9.37500  1.52542e-06      9.37500  3.11472e-08
      9.52500  5.38843e-07      9.52500  2.97000e-08
      9.67500  1.70231e-07      9.67500  2.97000e-08
      9.82500  4.75018e-08      9.82500  2.97000e-08
      9.97500  2.97000e-08      9.97500  2.97000e-08
      10.1250  2.97000e-08      10.1250  2.97000e-08
# redshift=      3.00000
#          MF max                   MF min
      5.77500  0.000410428      5.77500  0.000150791
      5.92500  0.000462407      5.92500  0.000187540
      6.07500  0.000559433      6.07500  0.000255598
      6.22500  0.000685064      6.22500  0.000352207
      6.37500  0.000846678      6.37500  0.000492300
      6.52500   0.00103107      6.52500  0.000686829
      6.67500   0.00127217      6.67500  0.000942409
      6.82500   0.00158094      6.82500   0.00107378
      6.97500   0.00186621      6.97500   0.00109163
      7.12500   0.00212831      7.12500   0.00103118
      7.27500   0.00223849      7.27500  0.000878493
      7.42500   0.00200876      7.42500  0.000662687
      7.57500   0.00148755      7.57500  0.000449455
      7.72500  0.000876927      7.72500  0.000272960
      7.87500  0.000392348      7.87500  0.000146974
      8.02500  0.000147738      8.02500  6.94654e-05
      8.17500  4.68352e-05      8.17500  3.06024e-05
      8.32500  1.73480e-05      8.32500  7.95279e-06
      8.47500  7.56139e-06      8.47500  1.82240e-06
      8.62500  3.35883e-06      8.62500  4.34355e-07
      8.77500  1.52137e-06      8.77500  1.03446e-07
      8.92500  7.03525e-07      8.92500  3.03860e-08
      9.07500  3.14758e-07      9.07500  2.97000e-08
      9.22500  1.38584e-07      9.22500  2.97000e-08
      9.37500  6.77160e-08      9.37500  2.97000e-08
      9.52500  3.18129e-08      9.52500  2.97000e-08
      9.67500  2.97000e-08      9.67500  2.97000e-08
      9.82500  2.97000e-08      9.82500  2.97000e-08
      9.97500  2.97000e-08      9.97500  2.97000e-08
      10.1250  2.97000e-08      10.1250  2.97000e-08
# redshift=      4.00000
#          MF max                   MF min
      5.77500  0.000407243      5.77500  0.000185562
      5.92500  0.000474153      5.92500  0.000239857
      6.07500  0.000593080      6.07500  0.000331270
      6.22500  0.000742584      6.22500  0.000458975
      6.37500  0.000948356      6.37500  0.000633772
      6.52500   0.00117233      6.52500  0.000845150
      6.67500   0.00140570      6.67500  0.000909172
      6.82500   0.00176242      6.82500  0.000851083
      6.97500   0.00209695      6.97500  0.000727040
      7.12500   0.00230471      7.12500  0.000552517
      7.27500   0.00217402      7.27500  0.000373575
      7.42500   0.00165106      7.42500  0.000227387
      7.57500  0.000975370      7.57500  0.000124629
      7.72500  0.000433035      7.72500  6.05906e-05
      7.87500  0.000183391      7.87500  2.65190e-05
      8.02500  6.71912e-05      8.02500  9.67246e-06
      8.17500  2.01328e-05      8.17500  2.91108e-06
      8.32500  4.90762e-06      8.32500  1.00537e-06
      8.47500  1.02718e-06      8.47500  2.78512e-07
      8.62500  5.20374e-07      8.62500  6.62674e-08
      8.77500  2.93248e-07      8.77500  2.97000e-08
      8.92500  1.74541e-07      8.92500  2.97000e-08
      9.07500  1.02523e-07      9.07500  2.97000e-08
      9.22500  5.81664e-08      9.22500  2.97000e-08
      9.37500  3.22307e-08      9.37500  2.97000e-08
      9.52500  2.97000e-08      9.52500  2.97000e-08
      9.67500  2.97000e-08      9.67500  2.97000e-08
      9.82500  2.97000e-08      9.82500  2.97000e-08
      9.97500  2.97000e-08      9.97500  2.97000e-08
      10.1250  2.97000e-08      10.1250  2.97000e-08
# redshift=      5.00000
#          MF max                   MF min
      5.77500  0.000425078      5.77500  0.000211372
      5.92500  0.000486511      5.92500  0.000266218
      6.07500  0.000618672      6.07500  0.000363246
      6.22500  0.000802131      6.22500  0.000489657
      6.37500   0.00103252      6.37500  0.000646185
      6.52500   0.00127937      6.52500  0.000686962
      6.67500   0.00150522      6.67500  0.000662764
      6.82500   0.00184096      6.82500  0.000595501
      6.97500   0.00217037      6.97500  0.000488825
